a1 a2 pvalue1 pvalue2
0.08766235638981956 -0.009429750545383284 0.0 0.045
-0.09886092728993262 -0.01089805521831633 1.0 0.031
-0.12020705712154392 -0.05260452619440614 1.0 0.0
0.05922671239150297 -0.03878129515534801 0.0 0.0
0.09318426430237661 0.001771022098256054 0.0 0.672
-0.00796475863131636 0.007348677286837102 0.889 0.969
-0.09635853286057305 0.006697642276486152 1.0 0.858
0.02254744911985467 -0.03275299496862919 0.0 0.0
-0.0649255556795353 -0.029637251390056307 1.0 0.0
0.00995069793130315 -0.030962642931933137 0.045 0.0
0.09194813805789548 -0.004340366486351356 0.0 0.263
0.08098980480835265 -0.012002850865960573 0.002 0.073
-0.05633028517517814 0.00723153147708568 1.0 0.886
-0.0908989965197847 0.016359452401156643 1.0 0.988
0.12369571796612876 0.0027617446047749545 0.0 0.733
0.03709643809394814 -0.030720417537304624 0.0 0.0
-0.10291874337297952 -0.012818371076189789 1.0 0.017
-0.1919449637964177 0.05245704083263527 1.0 1.0
0.21547656809426918 -0.007650449329739335 0.0 0.16
0.08082876141800714 -0.03935244301831601 0.0 0.0
-0.14405917207740723 0.0033552420080329463 1.0 0.805
-0.08110508242897443 0.03503891258517046 1.0 1.0
