# Void0 Void1 Void2 Void3 Void4 r
1.2877658825493325e-10 1.0536266311767265e-10 1.0536266311767265e-10 1.99018363666715e-10 3.2779495192164824e-10 2776.0
1.2934095480765567e-10 1.0778412900637973e-10 1.0778412900637973e-10 1.9401143221148352e-10 3.8802286442296704e-10 2850.0
1.3926321526460127e-10 1.09421097707901e-10 1.09421097707901e-10 1.8900007785910172e-10 4.37684390831604e-10 2924.0
1.380166982221014e-10 1.1041335857768112e-10 1.1041335857768112e-10 2.0242449072574873e-10 4.6005566074033804e-10 2998.0
1.3646224296944756e-10 1.194044625982666e-10 1.1087557241267613e-10 2.0469336445417132e-10 4.946756307642473e-10 3072.0
1.2674533609061655e-10 1.18823752584953e-10 1.0298058557362595e-10 1.9803958764158834e-10 5.149029278681297e-10 3146.0
1.4005684999753654e-10 1.1057119736647622e-10 9.582837105094606e-11 1.8428532894412703e-10 4.938846815702604e-10 3220.0
1.443059265435967e-10 1.030756618168548e-10 9.620395102906448e-11 1.7866448048254833e-10 5.016348875086933e-10 3294.0
1.7325186080702226e-10 1.219179761234601e-10 8.983429819623376e-11 1.6683512522157699e-10 5.454225247628479e-10 3368.0
1.6204116882592184e-10 1.2003049542660877e-10 8.402134679862613e-11 1.740442183685827e-10 5.34135704648409e-10 3442.0
1.686531429405316e-10 1.2367897148972317e-10 7.870480003891474e-11 1.798966858032337e-10 5.28446514546999e-10 3516.0
1.5821172347054082e-10 1.2656937877643264e-10 7.383213761958571e-11 1.740328958175949e-10 5.220986874527847e-10 3590.0
1.5853132398386293e-10 1.188984929878972e-10 7.431155811743576e-11 1.6348542785835865e-10 5.399973223200331e-10 3664.0
1.584412019125424e-10 1.2116091910959124e-10 7.456056560590231e-11 1.584412019125424e-10 5.359040652924228e-10 3738.0
1.6239260295825179e-10 1.185027102668324e-10 8.339079611369687e-11 1.536146244199679e-10 5.310677015661748e-10 3812.0
1.6968810321010505e-10 1.1588455828982784e-10 1.0760708984055443e-10 1.5727190053619494e-10 5.25619246528862e-10 3886.0
1.680137314777618e-10 1.1331158634546726e-10 1.0940429026458909e-10 1.680137314777618e-10 5.352995630803109e-10 3960.0
1.6618156418561014e-10 1.0709478580850431e-10 1.1078770945707344e-10 1.6248864053704103e-10 5.465526999882289e-10 4034.0
1.6771485857198082e-10 1.0132772705390509e-10 1.0831584616107095e-10 1.7120891812556375e-10 5.415792308053547e-10 4108.0
1.7208440188902704e-10 1.0258877804922766e-10 1.092074088911133e-10 1.6546577104714138e-10 5.493463598765094e-10 4182.0
1.6314743436298917e-10 1.066733224681083e-10 1.0981077312893501e-10 1.6942233568464259e-10 5.365040630013682e-10 4256.0
1.6077713074877356e-10 1.071847538325157e-10 1.1016210810564115e-10 1.6970919356814988e-10 5.240143520700768e-10 4330.0
1.6119766390069817e-10 1.1029313845837243e-10 1.1029313845837243e-10 1.7533780985689977e-10 5.288414587619396e-10 4404.0
1.5593756864171172e-10 1.1292030832675677e-10 1.1292030832675677e-10 1.7744619879918922e-10 5.162071237794595e-10 4478.0
1.509335101873618e-10 1.1000238878061963e-10 1.1000238878061963e-10 1.893064365061826e-10 5.116390175842773e-10 4552.0
1.5347737427588618e-10 1.1693514230543707e-10 1.120628447093772e-10 2.046364990345149e-10 5.018466523941675e-10 4626.0
1.602028399289183e-10 1.1376723415242026e-10 1.1144545386359536e-10 2.112820062830662e-10 4.852520803644048e-10 4700.0
1.6387240622069138e-10 1.173680747256303e-10 1.2401155065349618e-10 2.2144919759552888e-10 4.761157748303871e-10 4774.0
1.648718415151711e-10 1.1414204412588768e-10 1.3105197658898215e-10 2.2194286357811494e-10 4.713643674087583e-10 4848.0
1.7565614093984906e-10 1.1104698565162872e-10 1.3931349109022513e-10 2.2209397130325744e-10 4.684163758395975e-10 4922.0
1.775532703739699e-10 1.0614597685400375e-10 1.3702480648425937e-10 2.3352114907880823e-10 4.5353281019437963e-10 4996.0
1.7906245037793048e-10 1.0891427394121545e-10 1.4029635287343007e-10 2.4367261288543117e-10 4.578091514817192e-10 5070.0
1.749226912381785e-10 1.0778064813665543e-10 1.5018614904288052e-10 2.4206473433970157e-10 4.5762603061301243e-10 5144.0
1.7768718609917665e-10 1.0830457057473625e-10 1.6414911477733462e-10 2.470698016236171e-10 4.518331303664778e-10 5218.0
1.8163946902188945e-10 1.1352466813868091e-10 1.6866522123461163e-10 2.5786317477214664e-10 4.573422345015431e-10 5292.0
1.8195550441622185e-10 1.1663814385655247e-10 1.7884515391338045e-10 2.6749014324436033e-10 4.541111734148443e-10 5366.0
1.820457724555733e-10 1.1788209855729747e-10 1.790614155300721e-10 2.6709994483235753e-10 4.5809878806443447e-10 5440.0
1.9052896389852948e-10 1.2606427686519245e-10 1.8909641529778867e-10 2.764818799429789e-10 4.498202606326185e-10 5514.0
1.9540093889592649e-10 1.2659779139736082e-10 2.0228125364578305e-10 2.793407788441766e-10 4.4722045874067683e-10 5588.0
1.9969996254010415e-10 1.282840818966232e-10 2.0234499515652937e-10 2.8698603888213643e-10 4.4304296325122446e-10 5662.0
1.983882254747569e-10 1.3353053637724022e-10 2.0856198062730855e-10 2.861368636655148e-10 4.412866297419272e-10 5736.0
2.0065357666275773e-10 1.407022031476655e-10 2.2022953536156338e-10 2.911923856447338e-10 4.4045907072312676e-10 5810.0
2.025624740455513e-10 1.4367803391603057e-10 2.2729393889995e-10 2.991329558579653e-10 4.310341017480917e-10 5884.0
2.0301177983349823e-10 1.4290214669844009e-10 2.31365380368903e-10 2.982798776324583e-10 4.275722960739041e-10 5958.0
2.0433949379248238e-10 1.4096146897984077e-10 2.3602850619880316e-10 2.9940653101144477e-10 4.316262034654039e-10 6032.0
2.0328728652744668e-10 1.4535567637713805e-10 2.4647266863949493e-10 3.033509767870707e-10 4.318538211204826e-10 6106.0
2.021356685540481e-10 1.462690264913715e-10 2.580023106167247e-10 3.138689526794013e-10 4.3372829383205294e-10 6180.0
2.0873556973671708e-10 1.509167968988471e-10 2.7537415538036386e-10 3.126133650047547e-10 4.341307858843459e-10 6254.0
2.1565727573138172e-10 1.5133843910974154e-10 2.970016867528678e-10 3.1308139590827784e-10 4.3415214719607104e-10 6328.0
2.2193661951595957e-10 1.5161102403147854e-10 3.07788645172339e-10 3.123552422817209e-10 4.33826725391279e-10 6402.0
2.2762113467074226e-10 1.535119280337564e-10 3.1496412820718984e-10 3.079061085274769e-10 4.3936172506213037e-10 6476.0
2.344598108752076e-10 1.5943267139514116e-10 3.1716018052937175e-10 3.163075993989164e-10 4.416370255758456e-10 6550.0
2.4232296626525487e-10 1.640213275060739e-10 3.2309728835367315e-10 3.2227306057726076e-10 4.3436803816935147e-10 6624.0
2.463100431633061e-10 1.6580093520377885e-10 3.244277914804711e-10 3.300076306459829e-10 4.3682169467149427e-10 6698.0
2.460095056461809e-10 1.6580577966748868e-10 3.300691799892333e-10 3.339251283535935e-10 4.39578113537063e-10 6772.0
2.5302070765930456e-10 1.694268455417762e-10 3.396000648524589e-10 3.4258555992808494e-10 4.448387662682759e-10 6846.0
2.572501722989443e-10 1.712592439181174e-10 3.4179587499269845e-10 3.526350676457439e-10 4.4585212446193434e-10 6920.0
2.645438024235939e-10 1.735631296324108e-10 3.4362700261900685e-10 3.639226911647323e-10 4.493045533226118e-10 6994.0
2.712148562174269e-10 1.742555451196968e-10 3.505452016610243e-10 3.7020827873678777e-10 4.563189955858208e-10 7068.0
2.819050901557482e-10 1.741371769027349e-10 3.5878829656186135e-10 3.758734535409976e-10 4.626134812812278e-10 7142.0
2.8285389276317633e-10 1.732798622332972e-10 3.6121206575838057e-10 3.7904969863533765e-10 4.669637463860546e-10 7216.0
2.854257957390129e-10 1.7607435451432613e-10 3.713006563617895e-10 3.7871431339397163e-10 4.701494167908849e-10 7290.0
2.900709993050973e-10 1.8219335493543302e-10 3.7637311480082875e-10 3.7996903627981754e-10 4.692677530080397e-10 7364.0
2.936911961389871e-10 1.8726448545891854e-10 3.844156052433079e-10 3.820893383431971e-10 4.693243470973517e-10 7438.0
2.974959047371459e-10 1.947553835565756e-10 3.883817503968812e-10 3.810431417411262e-10 4.662839038195114e-10 7512.0
3.0474994174799574e-10 1.995125517918533e-10 3.935439895234909e-10 3.781968701548868e-10 4.680871407424251e-10 7586.0
3.1301831790769015e-10 2.0974356676127538e-10 3.9712868224343e-10 3.779642954327551e-10 4.652687242369408e-10 7660.0
3.206493695643668e-10 2.2393738229253357e-10 4.018460647605048e-10 3.790903030494852e-10 4.633900566607623e-10 7734.0
3.211486877238655e-10 2.2967910843475202e-10 4.065873057411693e-10 3.849763611838513e-10 4.6488659803532955e-10 7808.0
3.2584851086734804e-10 2.4084455151064854e-10 4.103639417219975e-10 3.8202928860309767e-10 4.689873619679972e-10 7882.0
3.2869750061384044e-10 2.5412306767110496e-10 4.122968649318114e-10 3.833220852534238e-10 4.697714279004165e-10 7956.0
3.312252842443515e-10 2.7163245067737616e-10 4.157639551184329e-10 3.8250283870895827e-10 4.716611090843555e-10 8030.0
3.3480052176684214e-10 2.8311990431290004e-10 4.228822697752999e-10 3.819871724856588e-10 4.682713338000664e-10 8104.0
3.358350808664401e-10 2.951675515427696e-10 4.307259826216712e-10 3.80875462805559e-10 4.6395966249907936e-10 8178.0
3.4091005264900376e-10 3.072872134988523e-10 4.3837372562855667e-10 3.7921455294664464e-10 4.656124813957679e-10 8252.0
3.4017189262921334e-10 3.124112144243933e-10 4.466568821611352e-10 3.8243441765744693e-10 4.6240174442655553e-10 8326.0
3.413321910678569e-10 3.16720768307645e-10 4.575303837718082e-10 3.8208225170361764e-10 4.660031686564713e-10 8400.0
3.4424243912362277e-10 3.222360731522496e-10 4.609547729360839e-10 3.8511140449903004e-10 4.719579559217705e-10 8474.0
3.4838153587119583e-10 3.273255089778818e-10 4.647639390633316e-10 3.8743089483697824e-10 4.751005340836858e-10 8548.0
3.499196103946703e-10 3.30148033261496e-10 4.730256566955671e-10 3.887166674107105e-10 4.79367483323189e-10 8622.0
3.515929859321215e-10 3.3341341065124657e-10 4.799407874150986e-10 3.872249534826364e-10 4.901213495723886e-10 8696.0
3.5303379234921486e-10 3.377923736032146e-10 4.838264322858216e-10 3.856433394336805e-10 4.941055286494031e-10 8770.0
3.542560964993985e-10 3.4388762538234294e-10 4.918111466523357e-10 3.8674397266617264e-10 4.93539225171845e-10 8844.0
3.5796969389701627e-10 3.475204843764819e-10 4.978542729622345e-10 3.8257589696150047e-10 4.934723463891072e-10 8918.0
3.5971418211800087e-10 3.5543969914950543e-10 5.053754094290378e-10 3.8042898419609416e-10 4.938671860523193e-10 8992.0
3.6347736538522206e-10 3.567403621433071e-10 5.158619625237751e-10 3.833675654327806e-10 4.985382399017079e-10 9066.0
3.609701296328123e-10 3.6065705926886365e-10 5.228275077942728e-10 3.803804921976296e-10 5.037302155934042e-10 9140.0
3.6272127434019857e-10 3.6638821224422755e-10 5.274279018628329e-10 3.792224949083289e-10 5.04815118121321e-10 9214.0
3.609711576961102e-10 3.714124721749233e-10 5.348936245860541e-10 3.773789375913879e-10 5.029730346079684e-10 9288.0
3.6528564947555327e-10 3.769375043232583e-10 5.429764359030553e-10 3.7635491158087305e-10 5.027775366784729e-10 9362.0
3.6300741222461836e-10 3.8292161195480904e-10 5.51054355391133e-10 3.752404206303069e-10 5.041137417413979e-10 9436.0
3.632040350454781e-10 3.9127106453254263e-10 5.574501104064492e-10 3.762649299553002e-10 5.040949652429207e-10 9510.0
3.6244812624547644e-10 3.9747120361301686e-10 5.674281526989107e-10 3.752084722631075e-10 5.057983964009908e-10 9584.0
3.6239553534865645e-10 4.011288795367266e-10 5.735718502370389e-10 3.761909730046814e-10 5.080435213709202e-10 9658.0
3.6170184471911707e-10 4.034466454358037e-10 5.890943306106337e-10 3.759624909266808e-10 5.056047291772604e-10 9732.0
3.6421121968179647e-10 4.075515944664779e-10 5.981478625254277e-10 3.740958665625133e-10 5.020893710435899e-10 9806.0
3.6450523939138497e-10 4.1158613367035377e-10 6.093258896420228e-10 3.726824473451006e-10 5.052523338674602e-10 9880.0
3.687853841643367e-10 4.157921939724059e-10 6.169038029450732e-10 3.7508526589119136e-10 5.06655872725117e-10 9954.0
3.7038916457714403e-10 4.232341957356233e-10 6.272681501188101e-10 3.7726138836008526e-10 5.109142922765979e-10 10028.0
3.73891112218974e-10 4.25118598766025e-10 6.35128113750768e-10 3.7875888243385215e-10 5.152882470321011e-10 10102.0
3.759905810286932e-10 4.292823702577299e-10 6.444904893145633e-10 3.780315431693797e-10 5.197650251614987e-10 10176.0
3.7655213106854575e-10 4.36019409280903e-10 6.528087033610263e-10 3.8010241633495517e-10 5.247765409411377e-10 10250.0
3.78711714170354e-10 4.4038265845038873e-10 6.579681731285393e-10 3.8240328477866595e-10 5.333233772949481e-10 10324.0
3.8300392005218156e-10 4.478297777746651e-10 6.622864677483893e-10 3.834290076438044e-10 5.430493982981819e-10 10398.0
3.870025051404786e-10 4.5379164715665794e-10 6.649784980800911e-10 3.855460440996273e-10 5.511664710307138e-10 10472.0
3.9398073812067316e-10 4.636505480675554e-10 6.689931458057345e-10 3.9011019312362417e-10 5.55117637734661e-10 10546.0
4.0155436629941077e-10 4.697767176528128e-10 6.762390967486351e-10 3.929767022403573e-10 5.611388139097081e-10 10620.0
4.0616322306564756e-10 4.768852465143078e-10 6.814320933395761e-10 3.961996230770242e-10 5.69878846408126e-10 10694.0
4.08556485076803e-10 4.808910758772862e-10 6.852649990913497e-10 3.9535255183544494e-10 5.742754153234125e-10 10768.0
4.107394895641324e-10 4.861010937653105e-10 6.917520385630528e-10 3.9967895561420824e-10 5.775848321985814e-10 10842.0
4.2006934081795174e-10 4.937238251502642e-10 6.976053154466903e-10 3.991301607334539e-10 5.811540858539569e-10 10916.0
4.269335698689782e-10 4.962292799868351e-10 7.008766109063242e-10 3.984953303920395e-10 5.847837978517327e-10 10990.0
4.330590975383116e-10 4.999142494597047e-10 7.075356579332659e-10 4.0148370916382776e-10 5.918180334994034e-10 11064.0
4.4228755271958826e-10 5.03495447036529e-10 7.073488577700686e-10 4.0511326662314123e-10 5.95653095824465e-10 11138.0
4.5154868726733834e-10 5.054497693060071e-10 7.083415781119395e-10 4.091736227715296e-10 5.973189091329206e-10 11212.0
4.6182986530557056e-10 5.080294703991109e-10 7.077845974582314e-10 4.1297129013470417e-10 5.994315668071943e-10 11286.0
4.693158581579401e-10 5.107069095371472e-10 7.069070113503972e-10 4.147252982680408e-10 6.039182535879603e-10 11360.0
4.759180175695863e-10 5.142727268431594e-10 7.081238199633435e-10 4.215821794320244e-10 6.068034629656545e-10 11434.0
4.879507679152009e-10 5.183595211999903e-10 7.091195869092095e-10 4.2556579983609723e-10 6.108397502619782e-10 11508.0
4.932586294398905e-10 5.192438876616303e-10 7.079060878869252e-10 4.3206257753307116e-10 6.118067601438043e-10 11582.0
5.002091434028025e-10 5.216294384459865e-10 7.073222778696445e-10 4.382109654961223e-10 6.14098740287337e-10 11656.0
5.076689983218037e-10 5.2291386911689e-10 7.068883778381733e-10 4.474295574130649e-10 6.188233475170442e-10 11730.0
5.11537264318134e-10 5.253351178417634e-10 7.081929871707046e-10 4.572172936040562e-10 6.210486491267294e-10 11804.0
5.177099321986556e-10 5.278303631419664e-10 7.127064044585017e-10 4.6197629137000084e-10 6.24615892867431e-10 11878.0
5.232577652236564e-10 5.308128238659231e-10 7.163314860815832e-10 4.698127207542883e-10 6.293084032021408e-10 11952.0
5.317811193821204e-10 5.359013243360108e-10 7.200744857749116e-10 4.762956926697298e-10 6.350609235596397e-10 12026.0
5.41359854176693e-10 5.359664807851443e-10 7.260828928372333e-10 4.855384395741648e-10 6.380360722202021e-10 12100.0
5.502091502897824e-10 5.365730717335149e-10 7.315822339993594e-10 4.922227191475965e-10 6.404985248079806e-10 12174.0
5.588815015841633e-10 5.382110761941e-10 7.356851401406793e-10 4.968702254139735e-10 6.440332539771912e-10 12248.0
5.678906953367784e-10 5.390365368057281e-10 7.379514880950043e-10 5.050754475612175e-10 6.475588144667582e-10 12322.0
5.762093034344349e-10 5.433547142070526e-10 7.399806527892493e-10 5.116287177393894e-10 6.511980223580023e-10 12396.0
5.842371648991596e-10 5.453126563374614e-10 7.442464580056341e-10 5.188292090565592e-10 6.539563796014418e-10 12470.0
5.929518352108404e-10 5.470888259159611e-10 7.467562806298155e-10 5.286952179665637e-10 6.589026005557197e-10 12544.0
6.020738307662042e-10 5.488097951849919e-10 7.511655732189729e-10 5.391794673232102e-10 6.631848001607202e-10 12618.0
6.099403504654259e-10 5.483738757105361e-10 7.542185218549683e-10 5.483738757105361e-10 6.699881076267414e-10 12692.0
6.160363453275613e-10 5.481873926461247e-10 7.586224692367732e-10 5.545015929802685e-10 6.738973811168067e-10 12766.0
6.221402338619576e-10 5.497038845439712e-10 7.61597130679763e-10 5.607611465893959e-10 6.766367396572651e-10 12840.0
6.283582380421429e-10 5.522809787239449e-10 7.659848835434311e-10 5.68915947962618e-10 6.82810037350066e-10 12914.0
6.326090363759173e-10 5.536828012671521e-10 7.672414954357584e-10 5.759216851928263e-10 6.902775147910234e-10 12988.0
6.364885509620041e-10 5.583608941761309e-10 7.715240071351183e-10 5.800094355626142e-10 6.946824023127985e-10 13062.0
6.41276848769871e-10 5.577190865164191e-10 7.740420195635018e-10 5.865902427048754e-10 7.011265448101744e-10 13136.0
